OrganisationNo;LineDiscount;CustomerUnit;AccountManager;Municipality;County;Country;NoOfEmployees;Potential;AccessoryRatio;TargetAccessory;NSB;CPLow;Days;TargetDays;NrOfOrder;Software
1;No;SMB Small;Unassigned_SE;Ekerö;Stockholm;Dustin Sweden;1,3;0;1;No;4399;0,251134349;518;9999;1;No
2;No;SMB Small;Not Defined;Helsinki;Uusimaa;Dustin Finland;1,8;0;0,320656;No;873,24;0,192604553;432;9999;1;No
3;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;16956;0,053654;No;22272;0,132617636;173;9999;2;No
4;Yes;Corporate;Jan Tufvander;Stockholm;Stockholm;Dustin Sweden;49,9;448601;0,607573;No;44568,89;0,100660573;4;9999;41;No
5;No;SMB Mid;Unassigned_NO;Oslo;Oslo;Dustin Norway;68;0;0;No;975,06;0,353403893;704;9999;1;No
6;No;SMB Small;Unassigned_SE;Umeå;Västerbotten;Dustin Sweden;1,8;0;0;No;8194;0,10240908;627;9999;2;No
7;No;SMB Small;Unassigned_SE;Östersund;Jämtland;Dustin Sweden;6,5;0;0,31197;No;36324;0,136975553;589;9999;7;No
8;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;0;No;8999;0,041625736;607;9999;1;No
9;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;15102;0,077282;No;47203,64;0,084457258;179;875;15;Yes
10;No;SMB Small;Unassigned_DK;Horsens;Midtjylland;Dustin Denmark;6,5;0;0,001645;No;53682,22;0,085731365;482;482;4;Yes
11;Yes;Corporate;Jan Tufvander;Solna;Stockholm;Dustin Sweden;379,6;3469604;0,354712;No;86938;0,129774782;4;9999;59;No
12;No;SMB Small;Unassigned_NO;Fredrikstad;Østfold;Dustin Norway;1,3;0;0,172613;No;7324,53;0,097923007;531;9999;3;No
13;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1,3;0;1;No;3261,46;0,149577183;603;9999;1;No
14;No;SMB Small;Not Defined;Helsinki;Uusimaa;Dustin Finland;-1;0;0,025568;No;12676,84;0,094148857;431;9999;2;No
15;Yes;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;30;326700;0,193656;No;398692,4;0,114375318;7;9999;34;No
